fight_url,red_fighter_name,red_fighter_link,blue_fighter_name,blue_fighter_link,weight_class,method,end_round,end_time_mmss,outcome_marker_raw,row_text_raw,event_name,event_date,event_location,event_url
http://ufcstats.com/fight-details/a5a81a39ccf9b680,Manel Kape,http://ufcstats.com/fighter-details/5d1b7e3dd9e11074,Brandon Royval,http://ufcstats.com/fighter-details/6e15f63b6c2e2c15,Flyweight,TKO,,,win,win | Manel Kape Brandon Royval | 1 0 | 17 17 | 0 0 | 0 0 | Flyweight | KO/TKO Punches | 1 | 3:18,UFC Fight Night: Royval vs. Kape,2025-12-13,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/bc0f994de0521926
http://ufcstats.com/fight-details/24bb03f0a3415fbe,Kevin Vallejos,http://ufcstats.com/fighter-details/239d8e5359022f3b,Giga Chikadze,http://ufcstats.com/fighter-details/9560ff14eb3129f7,Featherweight,TKO,,,win,win | Kevin Vallejos Giga Chikadze | 1 0 | 20 12 | 0 0 | 0 0 | Featherweight | KO/TKO Spinning Back Fist | 2 | 1:29,UFC Fight Night: Royval vs. Kape,2025-12-13,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/bc0f994de0521926
http://ufcstats.com/fight-details/d000cb692343cdcd,Cezary Oleksiejczuk,http://ufcstats.com/fighter-details/084532da3d25f3b8,Cesar Almeida,http://ufcstats.com/fighter-details/64d47ef881a437a4,Middleweight,U-DEC,,,win,win | Cezary Oleksiejczuk Cesar Almeida | 0 0 | 14 12 | 6 0 | 0 0 | Middleweight | U-DEC | 3 | 5:00,UFC Fight Night: Royval vs. Kape,2025-12-13,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/bc0f994de0521926
http://ufcstats.com/fight-details/93ca562453f65b8d,Melquizael Costa,http://ufcstats.com/fighter-details/20bccc9bb4ceb23e,Morgan Charriere,http://ufcstats.com/fighter-details/5b03b61f9d90125e,Featherweight,TKO,,,win,win | Melquizael Costa Morgan Charriere | 1 0 | 4 2 | 0 0 | 0 0 | Featherweight | KO/TKO Kick | 1 | 1:14,UFC Fight Night: Royval vs. Kape,2025-12-13,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/bc0f994de0521926
http://ufcstats.com/fight-details/47149f3187661509,Kennedy Nzechukwu,http://ufcstats.com/fighter-details/8667caa0451d245b,Marcus Buchecha,http://ufcstats.com/fighter-details/095854a135e6db55,Heavyweight,U-DEC,,,draw draw,draw draw | Kennedy Nzechukwu Marcus Buchecha | 0 0 | 24 27 | 0 3 | 0 0 | Heavyweight | U-DEC | 3 | 5:00,UFC Fight Night: Royval vs. Kape,2025-12-13,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/bc0f994de0521926
http://ufcstats.com/fight-details/fc4ab243d21b795d,King Green,http://ufcstats.com/fighter-details/887961364be5ceb3,Lance Gibson Jr.,http://ufcstats.com/fighter-details/07bc580bdf3eb9c8,Catch Weight,S-DEC,,,win,win | King Green Lance Gibson Jr. | 0 0 | 65 30 | 1 2 | 0 0 | Catch Weight | S-DEC | 3 | 5:00,UFC Fight Night: Royval vs. Kape,2025-12-13,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/bc0f994de0521926
http://ufcstats.com/fight-details/0fca825e14429c1f,Yaroslav Amosov,http://ufcstats.com/fighter-details/f139d6836efd43dd,Neil Magny,http://ufcstats.com/fighter-details/84b3e7d38f2d2ec5,Welterweight,SUB,,,win,win | Yaroslav Amosov Neil Magny | 0 0 | 9 5 | 1 0 | 1 0 | Welterweight | SUB Anaconda Choke | 1 | 3:14,UFC Fight Night: Royval vs. Kape,2025-12-13,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/bc0f994de0521926
http://ufcstats.com/fight-details/225e93ebed9b71b8,Joanderson Brito,http://ufcstats.com/fighter-details/791c8437b341fba5,Isaac Thomson,http://ufcstats.com/fighter-details/5d8006587d6a6711,Featherweight,U-DEC,,,win,win | Joanderson Brito Isaac Thomson | 0 0 | 33 21 | 8 4 | 2 0 | Featherweight | U-DEC | 3 | 5:00,UFC Fight Night: Royval vs. Kape,2025-12-13,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/bc0f994de0521926
http://ufcstats.com/fight-details/a2523a8565fe4361,Steven Asplund,http://ufcstats.com/fighter-details/e56cee1ad697db04,Sean Sharaf,http://ufcstats.com/fighter-details/0f3a990526c5e706,Heavyweight,TKO,,,win,win | Steven Asplund Sean Sharaf | 0 0 | 170 66 | 0 0 | 0 0 | Heavyweight | KO/TKO Punches | 2 | 3:49,UFC Fight Night: Royval vs. Kape,2025-12-13,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/bc0f994de0521926
http://ufcstats.com/fight-details/ceb5b0f1f6daddf6,Luana Santos,http://ufcstats.com/fighter-details/5078e1dacf9d25f4,Melissa Croden,http://ufcstats.com/fighter-details/51e2f44a8dbf6984,Women's Bantamweight,U-DEC,,,win,win | Luana Santos Melissa Croden | 0 0 | 12 22 | 3 0 | 1 0 | Women's Bantamweight | U-DEC | 3 | 5:00,UFC Fight Night: Royval vs. Kape,2025-12-13,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/bc0f994de0521926
http://ufcstats.com/fight-details/ac56a1052c4c8f63,Guilherme Pat,http://ufcstats.com/fighter-details/ba15006c804a8de0,Allen Frye Jr.,http://ufcstats.com/fighter-details/73a78713bd899f4c,Heavyweight,U-DEC,,,win,win | Guilherme Pat Allen Frye Jr. | 0 0 | 64 33 | 0 0 | 0 0 | Heavyweight | U-DEC | 3 | 5:00,UFC Fight Night: Royval vs. Kape,2025-12-13,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/bc0f994de0521926
